,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
194,4,south,2020-03,17,south,2020-03,3,south,2020-03,27,south,2020-03,0.005270092226613970,south,2020-03,0.003421900161030600,south,2020-03,0.0006038647342995170,south,2020-03
195,2,amid,2020-01,0,amid,2020-01,7,amid,2020-01,12,amid,2020-01,0.006369426751592360,amid,2020-01,0.0,amid,2020-01,0.0013690592607080000,amid,2020-01
196,0,amid,2020-02,2,amid,2020-02,18,amid,2020-02,28,amid,2020-02,0.0,amid,2020-02,0.00033932813030200200,amid,2020-02,0.003053953172718020,amid,2020-02
197,2,amid,2020-03,5,amid,2020-03,4,amid,2020-03,16,amid,2020-03,0.002635046113306980,amid,2020-03,0.001006441223832530,amid,2020-03,0.0008051529790660230,amid,2020-03
198,0,march,2020-01,0,march,2020-01,5,march,2020-01,6,march,2020-01,0.0,march,2020-01,0.0,march,2020-01,0.0009778994719342850,march,2020-01
199,0,march,2020-02,0,march,2020-02,4,march,2020-02,5,march,2020-02,0.0,march,2020-02,0.0,march,2020-02,0.0006786562606040040,march,2020-02
200,0,march,2020-03,3,march,2020-03,33,march,2020-03,44,march,2020-03,0.0,march,2020-03,0.0006038647342995170,march,2020-03,0.006642512077294690,march,2020-03
201,0,outside,2020-01,1,outside,2020-01,2,outside,2020-01,7,outside,2020-01,0.0,outside,2020-01,0.00019557989438685700,outside,2020-01,0.00039115978877371400,outside,2020-01
202,0,outside,2020-02,1,outside,2020-02,16,outside,2020-02,18,outside,2020-02,0.0,outside,2020-02,0.00016966406515100100,outside,2020-02,0.0027146250424160200,outside,2020-02
203,7,outside,2020-03,1,outside,2020-03,22,outside,2020-03,30,outside,2020-03,0.00922266139657444,outside,2020-03,0.00020128824476650600,outside,2020-03,0.004428341384863120,outside,2020-03
204,1,sent,2020-01,1,sent,2020-01,9,sent,2020-01,14,sent,2020-01,0.0031847133757961800,sent,2020-01,0.00019557989438685700,sent,2020-01,0.0017602190494817100,sent,2020-01
205,0,sent,2020-02,1,sent,2020-02,16,sent,2020-02,19,sent,2020-02,0.0,sent,2020-02,0.00016966406515100100,sent,2020-02,0.0027146250424160200,sent,2020-02
206,4,sent,2020-03,1,sent,2020-03,15,sent,2020-03,21,sent,2020-03,0.005270092226613970,sent,2020-03,0.00020128824476650600,sent,2020-03,0.0030193236714975800,sent,2020-03
207,0,home,2020-01,0,home,2020-01,6,home,2020-01,16,home,2020-01,0.0,home,2020-01,0.0,home,2020-01,0.001173479366321140,home,2020-01
